Time,Conductivity (mS),Temperature (C)
16:53:58,0.466,21.2
0,0,0
0,0,0
16:54:00,0.466,21.2
0,0,0
0,0,0
16:54:02,0.466,21.2
0,0,0
0,0,0
16:54:04,0.466,21.2
0,0,0
0,0,0
16:54:06,0.466,21.2
0,0,0
0,0,0
16:54:08,0.466,21.2
0,0,0
0,0,0
16:54:10,0.466,21.2
0,0,0
0,0,0
16:54:12,0.466,21.2
0,0,0
0,0,0
16:54:14,0.466,21.2
0,0,0
0,0,0
16:54:16,0.466,21.2
0,0,0
0,0,0
16:54:18,0.466,21.2
0,0,0
0,0,0
16:54:20,0.466,21.2
0,0,0
0,0,0
16:54:22,0.466,21.2
0,0,0
0,0,0
16:54:24,0.466,21.2
0,0,0
0,0,0
16:54:26,0.466,21.2
0,0,0
0,0,0
16:54:28,0.466,21.2
0,0,0
0,0,0
16:54:30,0.466,21.2
0,0,0
0,0,0
16:54:32,0.466,21.2
0,0,0
0,0,0
16:54:34,0.466,21.2
0,0,0
0,0,0
16:54:36,0.466,21.2
0,0,0
0,0,0
16:54:38,0.466,21.2
0,0,0
0,0,0
16:54:40,0.466,21.2
0,0,0
0,0,0
16:54:42,0.466,21.2
0,0,0
0,0,0
16:54:44,0.466,21.2
0,0,0
0,0,0
16:54:46,0.466,21.2
0,0,0
0,0,0
16:54:48,0.466,21.2
0,0,0
0,0,0
16:54:50,0.466,21.2
0,0,0
0,0,0
16:54:52,0.466,21.2
0,0,0
0,0,0
16:54:54,0.466,21.2
0,0,0
0,0,0
16:54:56,0.466,21.2
0,0,0
0,0,0
16:54:58,0.466,21.2
0,0,0
0,0,0
16:55:00,0.466,21.2
0,0,0
0,0,0
16:55:02,0.466,21.2
0,0,0
0,0,0
16:55:04,0.466,21.2
0,0,0
0,0,0
16:55:06,0.466,21.2
0,0,0
0,0,0
16:55:08,0.466,21.2
0,0,0
0,0,0
16:55:10,0.466,21.2
0,0,0
0,0,0
16:55:12,0.466,21.2
0,0,0
0,0,0
16:55:14,0.466,21.2
0,0,0
0,0,0
16:55:16,0.466,21.2
0,0,0
0,0,0
16:55:18,0.466,21.2
0,0,0
0,0,0
16:55:20,0.466,21.2
0,0,0
0,0,0
16:55:22,0.466,21.2
0,0,0
0,0,0
16:55:24,0.466,21.2
0,0,0
0,0,0
16:55:26,0.466,21.2
0,0,0
0,0,0
16:55:28,0.466,21.2
0,0,0
0,0,0
16:55:30,0.466,21.2
0,0,0
0,0,0
16:55:32,0.466,21.2
0,0,0
0,0,0
16:55:34,0.466,21.2
0,0,0
0,0,0
16:55:36,0.466,21.2
0,0,0
0,0,0
16:55:38,0.466,21.2
0,0,0
0,0,0
16:55:40,0.466,21.2
0,0,0
0,0,0
16:55:42,0.466,21.2
0,0,0
0,0,0
16:55:44,0.466,21.2
0,0,0
0,0,0
16:55:46,0.466,21.2
0,0,0
0,0,0
16:55:48,0.466,21.2
0,0,0
0,0,0
16:55:50,0.466,21.2
0,0,0
0,0,0
16:55:52,0.466,21.2
0,0,0
0,0,0
16:55:54,0.466,21.2
0,0,0
0,0,0
16:55:56,0.466,21.2
0,0,0
0,0,0
16:55:58,0.466,21.2
0,0,0
0,0,0
16:56:00,0.466,21.2
0,0,0
0,0,0
16:56:02,0.466,21.2
0,0,0
0,0,0
16:56:04,0.466,21.2
0,0,0
0,0,0
16:56:06,0.466,21.2
0,0,0
0,0,0
16:56:08,0.466,21.2
0,0,0
0,0,0
16:56:10,0.466,21.2
0,0,0
0,0,0
16:56:12,0.466,21.2
0,0,0
0,0,0
16:56:14,0.466,21.2
0,0,0
0,0,0
16:56:16,0.466,21.2
0,0,0
0,0,0
16:56:18,0.466,21.2
0,0,0
0,0,0
16:56:20,0.466,21.2
0,0,0
0,0,0
16:56:22,0.466,21.2
0,0,0
0,0,0
16:56:24,0.466,21.2
0,0,0
0,0,0
16:56:26,0.466,21.2
0,0,0
0,0,0
16:56:28,0.466,21.2
0,0,0
0,0,0
16:56:30,0.466,21.2
0,0,0
0,0,0
16:56:32,0.466,21.2
0,0,0
0,0,0
16:56:34,0.466,21.2
0,0,0
0,0,0
16:56:36,0.466,21.2
0,0,0
0,0,0
16:56:38,0.466,21.2
0,0,0
0,0,0
16:56:40,0.466,21.2
0,0,0
0,0,0
16:56:42,0.466,21.2
0,0,0
0,0,0
16:56:44,0.466,21.2
0,0,0
0,0,0
16:56:46,0.466,21.2
0,0,0
0,0,0
16:56:48,0.466,21.2
0,0,0
0,0,0
16:56:50,0.466,21.2
0,0,0
0,0,0
16:56:52,0.466,21.2
0,0,0
0,0,0
16:56:54,0.466,21.2
0,0,0
0,0,0
16:56:56,0.466,21.2
0,0,0
0,0,0
16:56:58,0.466,21.2
0,0,0
0,0,0
16:57:00,0.466,21.2
0,0,0
0,0,0
16:57:02,0.466,21.2
0,0,0
0,0,0
16:57:04,0.466,21.2
0,0,0
0,0,0
16:57:06,0.466,21.2
0,0,0
0,0,0
16:57:08,0.466,21.2
0,0,0
0,0,0
16:57:10,0.466,21.2
0,0,0
0,0,0
16:57:12,0.466,21.2
0,0,0
0,0,0
16:57:14,0.466,21.2
0,0,0
0,0,0
16:57:16,0.466,21.2
0,0,0
0,0,0
16:57:18,0.466,21.2
0,0,0
0,0,0
16:57:20,0.466,21.2
0,0,0
0,0,0
16:57:22,0.466,21.2
0,0,0
0,0,0
16:57:24,0.466,21.2
0,0,0
0,0,0
16:57:26,0.466,21.2
0,0,0
0,0,0
16:57:28,0.466,21.2
0,0,0
0,0,0
16:57:30,0.466,21.2
0,0,0
0,0,0
16:57:32,0.466,21.2
0,0,0
0,0,0
16:57:34,0.466,21.2
0,0,0
0,0,0
16:57:36,0.466,21.2
0,0,0
0,0,0
16:57:38,0.466,21.2
0,0,0
0,0,0
16:57:40,0.466,21.2
0,0,0
0,0,0
