Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
13:59:50,960.40,1072.47,19.50,24.25
13:59:51,962.40,1063.43,20.00,24.25
13:59:52,961.80,1040.91,21.00,23.75
13:59:53,963.40,1064.53,20.00,23.75
13:59:54,965.50,1072.48,19.75,24.00
13:59:55,964.70,1054.89,20.50,24.00
13:59:56,967.10,1063.04,20.25,24.00
13:59:57,968.30,1081.30,19.50,24.00
13:59:58,969.30,1059.92,20.50,24.00
13:59:59,969.80,1054.99,20.75,24.00
14:00:00,971.70,1079.37,19.75,24.00
14:00:01,971.70,1068.10,20.25,23.75
14:00:02,973.90,1059.45,20.75,24.25
14:00:03,975.30,1083.37,19.75,24.25
14:00:04,974.50,1071.17,20.25,23.50
14:00:05,977.00,1073.92,20.25,24.00
14:00:06,978.80,1087.25,19.75,24.00
14:00:07,980.40,1083.31,20.00,23.75
14:00:08,979.30,1059.85,21.00,24.00
14:00:09,981.20,1084.20,20.00,24.25
14:00:10,983.40,1086.63,20.00,24.00
14:00:11,983.70,1070.11,20.75,23.50
14:00:12,984.70,1076.76,20.50,24.00
14:00:13,985.70,1100.73,19.50,24.25
14:00:14,985.80,1072.40,20.75,24.25
14:00:15,988.50,1075.33,20.75,24.25
14:00:16,988.50,1103.85,19.50,24.25
14:00:17,989.30,1087.44,20.25,23.75
14:00:18,991.70,1078.81,20.75,24.00
14:00:19,992.40,1096.57,20.00,24.25
14:00:20,994.00,1092.61,20.25,24.00
14:00:21,994.80,1076.62,21.00,24.25
14:00:22,995.40,1111.56,19.50,24.00
14:00:23,997.90,1091.20,20.50,24.00
14:00:24,997.40,1073.92,21.25,24.00
14:00:25,998.50,1103.31,20.00,24.00
14:00:26,999.60,1104.53,20.00,24.00
14:00:27,1000.00,1087.84,20.75,24.25
14:00:27,1002.00,1113.02,19.75,24.25
14:00:28,1002.00,1095.68,20.50,23.75
14:00:29,1004.00,1092.19,20.75,24.00
14:00:30,1004.00,1109.39,20.00,24.25
14:00:31,1005.00,1093.28,20.75,23.50
14:00:32,1007.00,1106.90,20.25,24.25
14:00:33,1007.00,1112.71,20.00,24.25
14:00:34,1009.00,1097.63,20.75,24.25
14:00:35,1010.00,1121.91,19.75,24.25
14:00:36,1010.00,1110.20,20.25,24.00
14:00:37,1012.00,1106.62,20.50,24.25
14:00:38,1013.00,1119.34,20.00,23.75
14:00:39,1014.00,1103.07,20.75,24.00
14:00:40,1015.00,1109.90,20.50,24.25
14:00:41,1016.00,1116.79,20.25,24.25
14:00:42,1017.00,1095.02,21.25,24.25
14:00:43,1018.00,1124.86,20.00,24.00
14:00:44,1017.00,1117.89,20.25,24.25
14:00:45,1018.00,1101.73,21.00,24.00
14:00:46,1019.00,1120.09,20.25,24.00
14:00:47,1020.00,1127.07,20.00,24.00
14:00:48,1021.00,1104.98,21.00,24.00
14:00:49,1022.00,1117.55,20.50,24.00
14:00:50,1024.00,1125.58,20.25,24.00
14:00:51,1024.00,1102.56,21.25,23.75
14:00:52,1025.00,1120.83,20.50,24.00
14:00:53,1026.00,1127.78,20.25,24.50
14:00:54,1027.00,1111.47,21.00,24.00
14:00:55,1028.00,1124.11,20.50,23.50
14:00:56,1028.00,1129.98,20.25,23.75
14:00:57,1030.00,1114.72,21.00,24.25
14:00:58,1030.00,1126.30,20.50,23.25
14:00:59,1032.00,1128.49,20.50,24.00
14:01:00,1031.00,1133.28,20.25,24.00
14:01:01,1034.00,1130.67,20.50,23.75
14:01:02,1035.00,1143.65,20.00,23.75
14:01:03,1035.00,1137.68,20.25,24.00
14:01:04,1011.00,1105.52,20.50,24.25
14:01:05,1036.00,1144.75,20.00,24.00
14:01:06,1039.00,1136.14,20.50,24.25
14:01:07,1039.00,1124.46,21.00,24.00
14:01:08,1040.00,1137.23,20.50,23.50
14:01:09,1041.00,1144.27,20.25,24.25
14:01:10,1042.00,1121.94,21.25,24.25
14:01:10,1044.00,1141.61,20.50,24.00
14:01:11,1043.00,1146.47,20.25,24.00
14:01:12,1045.00,1130.95,21.00,24.00
14:01:13,1046.00,1149.77,20.25,24.25
14:01:14,1047.00,1150.87,20.25,24.25
14:01:15,1047.00,1144.89,20.50,24.25
14:01:16,1048.00,1134.20,21.00,24.00
14:01:17,1049.00,1159.12,20.00,24.25
14:01:18,1050.00,1142.24,20.75,24.25
14:01:19,1051.00,1143.32,20.75,24.25
14:01:20,1051.00,1167.45,19.75,24.50
14:01:21,1053.00,1145.50,20.75,24.25
14:01:22,1053.00,1139.61,21.00,24.00
14:01:23,1054.00,1158.56,20.25,24.00
14:01:24,1056.00,1148.76,20.75,24.00
14:01:25,1058.00,1150.94,20.75,24.00
14:01:26,1058.00,1162.96,20.25,23.75
14:01:27,1058.00,1156.92,20.50,24.25
14:01:28,1060.00,1153.11,20.75,24.00
14:01:29,1062.00,1173.48,20.00,24.25
14:01:30,1061.00,1154.20,20.75,24.00
14:01:31,1062.00,1161.29,20.50,24.00
14:01:32,1063.00,1180.78,19.75,24.00
14:01:33,1064.00,1169.55,20.25,23.75
14:01:34,1066.00,1153.68,21.00,24.25
14:01:35,1065.00,1176.80,20.00,24.25
14:01:36,1066.00,1171.75,20.25,23.75
14:01:37,1068.00,1161.82,20.75,24.00
14:01:38,1068.00,1173.95,20.25,24.25
14:01:39,1069.00,1168.94,20.50,24.00
14:01:40,1070.00,1152.09,21.25,24.00
14:01:41,1072.00,1178.35,20.25,24.50
14:01:42,1071.00,1177.25,20.25,24.00
14:01:43,1069.00,1145.15,21.50,24.25
14:01:44,1069.00,1168.94,20.50,24.00
14:01:45,1070.00,1176.15,20.25,24.00
14:01:46,1073.00,1167.26,20.75,24.00
14:01:47,1071.00,1159.09,21.00,24.00
14:01:48,1072.00,1172.23,20.50,24.00
14:01:49,1073.00,1185.64,20.00,24.00
14:01:50,1074.00,1156.39,21.25,24.25
14:01:51,1074.00,1162.34,21.00,24.25
14:01:52,1075.00,1200.45,19.50,24.25
14:01:52,1076.00,1176.60,20.50,23.50
14:01:53,1077.00,1159.62,21.25,23.50
14:01:54,1077.00,1183.84,20.25,24.25
14:01:55,1078.00,1178.79,20.50,24.50
14:01:56,1080.00,1193.37,20.00,24.00
14:01:57,1080.00,1168.83,21.00,23.75
14:01:58,1080.00,1199.67,19.75,24.25
14:01:59,1080.00,1180.97,20.50,23.75
14:02:00,1082.00,1165.01,21.25,23.75
14:02:01,1083.00,1190.44,20.25,24.00
14:02:02,1083.00,1184.25,20.50,24.00
14:02:03,1083.00,1166.08,21.25,23.75
14:02:04,1084.00,1185.35,20.50,24.00
14:02:05,1085.00,1192.64,20.25,24.25
14:02:06,1087.00,1188.63,20.50,24.00
14:02:07,1086.00,1181.40,20.75,24.00
14:02:08,1088.00,1202.21,20.00,24.25
14:02:09,1088.00,1183.57,20.75,24.25
